"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Josh Allen","QB","BUF","17.2","17.7","37.2","21","36.5","29.7","BYE","29.5","11.6","21.9","18.2","28.7","11.7","36.2","21.8","31","23.9","23.9","24.6","417.6"
"2","Justin Herbert","QB","LAC","14.4","16.7","30.8","21.3","42.8","12","BYE","15.8","31.6","13","35.3","21.7","26.3","24.9","24","18.9","17.7","28.4","23.3","395.8"
"3","Tom Brady","QB","FA","29.2","29.6","28.7","11.1","37.7","19","24.4","27.2","-","15","20.3","12.2","29.6","30.1","5.8","14.4","27.4","25","22.7","386.7"
"4","Patrick Mahomes II","QB","KC","33.3","25","24.9","32.3","21","25","8.7","15","10.4","36.2","8.5","BYE","13.6","20.3","30.6","22.3","20.9","26.2","22","374.2"
"5","Matthew Stafford","QB","LAR","24.3","18.2","29.5","20.3","17.5","26.2","27.2","24.2","15.1","11.8","BYE","23","24","23.5","16.5","9.7","16.3","19.5","20.4","346.7"
"6","Aaron Rodgers","QB","NYJ","3.3","26.8","18","24.1","20.8","23.7","24.7","15.7","-","11.5","33.5","26.3","-","29.6","23.8","20","20.3","14.2","21","336.3"
"7","Dak Prescott","QB","DAL","28.4","8.5","20.1","27","21.7","27.8","BYE","-","19.9","26.3","4.6","25.3","12.2","11.9","10.6","31.3","23","31.8","20.7","330.6"
"8","Joe Burrow","QB","CIN","18.6","13.3","18.6","22.3","20.3","23.8","27.6","21.3","9.4","BYE","9","17.4","18.6","22.2","12.8","38.1","34.8","-","20.5","328.2"
"9","Jalen Hurts","QB","PHI","28.8","21.8","22.5","28.2","23.9","26","23.5","11.2","16.7","19.6","30.8","9.9","-","BYE","28.6","16.7","13","-","21.4","321.2"
"10","Kyler Murray","QB","ARI","34.6","35.1","19.5","22.6","13.7","25.8","22.4","11.1","-","-","-","BYE","30.8","19.4","13.6","21.9","22.9","17.1","22.2","310.5"
"11","Kirk Cousins","QB","ATL","22","25.3","25.1","11.1","14.4","28.5","-","13.2","21.6","17.5","25.2","16.5","20.2","16","11.5","17.3","-","21.9","19.2","307.3"
"12","Ryan Tannehill","QB","TEN","15.2","14.6","23.5","18.8","14","13.9","20.4","23.2","15","18.6","13.2","9.1","BYE","16.5","10.9","14.6","13.5","27.3","16.6","282.4"
"13","Derek Carr","QB","NO","25","24.2","22.2","15.4","8.2","21.5","20","-","12.3","19.2","9.6","21","12.4","11.5","11.1","9.5","12.2","15.3","15.9","271"
"14","Carson Wentz","QB","KC","18.3","18.6","7.8","17.9","22.6","17","20.3","20.3","24.2","7.1","10","22.3","11.1","-","7","17.4","10.9","12.1","15.6","265"
