Player,Pos,Team,1,week_1_opp,2,week_2_opp,3,week_3_opp,4,week_4_opp,5,week_5_opp,6,week_6_opp,7,week_7_opp,8,week_8_opp,9,week_9_opp,10,week_10_opp,11,week_11_opp,12,week_12_opp,13,week_13_opp,14,week_14_opp,15,week_15_opp,16,week_16_opp,17,week_17_opp,2020AVG,2020TTL,18,week_18_opp,19,week_19_opp,20,week_20_opp,21,week_21_opp,22,week_22_opp,23,week_23_opp,24,week_24_opp,25,week_25_opp,26,week_26_opp,27,week_27_opp,28,week_28_opp,29,week_29_opp,30,week_30_opp,31,week_31_opp,32,week_32_opp,33,week_33_opp,34,week_34_opp,35,week_35_opp,2021AVG,2021TTL,36,week_36_opp,37,week_37_opp,38,week_38_opp,39,week_39_opp,40,week_40_opp,41,week_41_opp,42,week_42_opp,43,week_43_opp,44,week_44_opp,45,week_45_opp,46,week_46_opp,47,week_47_opp,48,week_48_opp,49,week_49_opp,50,week_50_opp,51,week_51_opp,52,week_52_opp,53,week_53_opp,2022AVG,2022TTL,54,week_54_opp,55,week_55_opp,56,week_56_opp,57,week_57_opp,58,week_58_opp,59,week_59_opp,60,week_60_opp,61,week_61_opp,62,week_62_opp,63,week_63_opp,64,week_64_opp,65,week_65_opp,66,week_66_opp,67,week_67_opp,68,week_68_opp,69,week_69_opp,70,week_70_opp,71,week_71_opp,2023AVG,2023TTL,week_72_opp
Ben DiNucci,QB,DEN,,,,,,,,,,,0.0,,1.6,,5.4,PHI,,,,,,,,,,,,,,,,,-,,2.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Roethlisberger,QB,FA,22.1,CLE,19.2,DEN,19.2,HOU,,,21.4,PHI,11.0,CLE,15.6,TEN,15.3,BAL,25.0,DAL,29.3,CIN,17.7,JAX,13.5,BAL,19.2,WSH,15.5,BUF,7.7,CIN,25.5,IND,-,,18.5,277.2,12.0,,14.8,KC,15.2,LV,10.3,CIN,16.0,GB,10.9,DEN,,SEA,14.6,,16.2,CLE,,CHI,22.9,,10.5,LAC,19.3,CIN,25.8,BAL,11.9,MIN,7.4,TEN,7.8,KC,12.4,CLE,14.3,228.1,,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaine Gabbert,QB,KC,,,,,,,,,,,0.2,,,,,,-0.1,,0.0,,,,,,,,,,,,15.2,DET,-,,3.8,15.3,,,-0.3,,,,,,1.5,,,,0.6,,,,,,,,0.2,,,,,,,,,,0.0,,,,-0.1,,0.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,5.2,5.2,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,4.5,8.9,LAC
Brandon Allen,QB,SF,,,,,,,,,,,,,,,,,,,,,,,7.1,NYG,9.4,MIA,13.9,DAL,,,23.1,HOU,0.1,BAL,10.7,53.7,,,,,,,,,,,4.0,,,,,,0.2,,,,,,-0.1,,,,,,,,,,0.0,,9.7,,2.8,13.9,,CLE,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Rypien,QB,CHI,,,,,1.1,,14.2,NYJ,,,,,0.0,,,,,,,,,,,,,,,,,,,,-,,5.1,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,8.9,,,NYJ,,,,,,,,,,,3.6,,8.7,,0.8,ARI,,,,,5.5,22.0,,,,,,,,,,,,,,,1.7,,4.1,,,GB,,,,,,,,,,,,,,,,,2.9,5.8,
Brian Hoyer,QB,FA,,,,,,,3.0,KC,,,,,,,,,,,,,,,,,,,,,,,,,-,,3.0,3.0,,,,,,,,,,,,,2.9,,,,-0.3,,7.2,,,,-0.1,,,,,,,,,,2.6,,,,2.5,12.3,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,3.8,,3.2,,,CHI,,,,,,,,,,,,,,,,,,,,,3.5,6.9,
Brock Purdy,QB,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEA,,DAL,,,-0.1,,,,1.7,,,,,,,,0.3,,,,15.3,,21.7,MIA,16.5,TB,17.0,SEA,18.1,WSH,19.8,LV,12.3,110.3,16.8,ARI,14.7,PIT,20.3,LAR,21.3,NYG,26.1,ARI,8.7,DAL,14.8,CLE,20.3,MIN,,CIN,23.8,,26.7,JAX,11.5,TB,29.5,SEA,22.4,PHI,25.7,SEA,6.4,ARI,17.6,BAL,,WSH,19.2,306.6,
Bryce Perkins,QB,FA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,6.5,,10.4,,0.5,KC,,,,,-0.2,,,,,,3.5,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Young,QB,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,13.5,ATL,,NO,7.2,,20.3,MIN,12.7,DET,,MIA,14.5,,12.0,HOU,9.2,IND,6.2,CHI,8.1,DAL,8.1,TEN,7.5,TB,7.6,NO,22.2,ATL,3.7,GB,4.2,JAX,10.4,166.4,TB
C.J. Beathard,QB,JAC,,,,,,,5.5,PHI,5.8,MIA,,,,,,,,,0.0,,,,,,,,,,8.0,,19.1,ARI,13.9,SEA,8.7,52.3,,,,,,,,,,,,,,,,,1.3,,,,,,,,0.2,,,,,,,,,,,,0.8,1.5,,,,,-0.1,,,,,,,,,,,,,,,,,,,,0.2,,,,,,-0.3,,0.2,,,,0.0,0.0,,,,,0.4,,,,,,-0.2,,,,,,,,0.2,,0.0,,,,3.2,,,,,,8.4,,9.5,,0.0,CAR,2.7,21.5,
